iter	Logloss
0	0.6037575189
1	0.5407322063
2	0.4911404382
3	0.4572881288
4	0.4273998671
5	0.3885789062
6	0.37779793
7	0.3709700061
8	0.3653895722
9	0.3595244079
10	0.3406249154
11	0.3318062619
12	0.3196823139
13	0.3125364064
14	0.3110051217
15	0.3048596972
16	0.3031974416
17	0.2961678092
18	0.2952271217
19	0.2909291776
20	0.2901883354
21	0.2895179408
22	0.2868758522
23	0.2862000013
24	0.284750681
25	0.2841860256
26	0.281367726
27	0.2803452259
28	0.2796276786
29	0.2774918405
30	0.2749576017
31	0.2744296606
32	0.273742167
33	0.2730501731
34	0.2715997243
35	0.27076199
36	0.2703120321
37	0.2691980264
38	0.268531908
39	0.2680521546
40	0.2672249205
41	0.26674934
42	0.265570707
43	0.2651105286
44	0.2646903912
45	0.2641671902
46	0.2633832623
47	0.2628638353
48	0.2620822275
49	0.2615693752
50	0.2610396227
51	0.2604920166
52	0.2600632891
53	0.2595473742
54	0.2589541346
55	0.2584191101
56	0.257758682
57	0.2569766475
58	0.2561768673
59	0.2557353193
60	0.2548323088
61	0.2543278181
62	0.2540126593
63	0.2536298456
64	0.2533928472
65	0.2528408526
66	0.2523120748
67	0.2516963215
68	0.2512497201
69	0.2507548238
70	0.2503172371
71	0.2498498207
72	0.2488352519
73	0.2483914926
74	0.247887506
75	0.2465014678
76	0.244645404
77	0.244171417
78	0.2437797335
79	0.2433296607
80	0.2425449835
81	0.2419718935
82	0.2414839645
83	0.2411521711
84	0.2407756605
85	0.24039158
86	0.2400890741
87	0.2395698974
88	0.239163902
89	0.2388890189
90	0.238643986
91	0.2383335009
92	0.2376129005
93	0.2373799095
94	0.2368638695
95	0.236431792
96	0.2359778611
97	0.2354049638
98	0.2342982738
99	0.233866905
100	0.2333684143
101	0.2328435451
102	0.2324595039
103	0.2321071844
104	0.2319213038
105	0.2315025747
106	0.2310180236
107	0.2308307693
108	0.2303620124
109	0.2299413913
110	0.2292055622
111	0.228932053
112	0.2285212211
113	0.2273588243
114	0.2270508858
115	0.2266246449
116	0.2259049845
117	0.2255307647
118	0.2248815768
119	0.2243749362
120	0.2237794562
121	0.2234173694
122	0.2230082087
123	0.2224849856
124	0.2219474854
125	0.2215756056
126	0.2209556106
127	0.2205690552
128	0.2202411461
129	0.2197963798
130	0.2185817415
131	0.2182256114
132	0.2176684485
133	0.2173879604
134	0.2164024226
135	0.215958772
136	0.2154783613
137	0.2152041666
138	0.2146586688
139	0.2142302699
140	0.2138177295
141	0.2134844272
142	0.2131841467
143	0.2128110556
144	0.2123248972
145	0.2120160141
146	0.2114571373
147	0.2108880255
148	0.2104526664
149	0.2101079908
150	0.2097453647
151	0.2092646374
152	0.2085895156
153	0.2081064433
154	0.2074248568
155	0.2069190913
156	0.2065513821
157	0.2061789193
158	0.205799605
159	0.2054746907
160	0.2049477164
161	0.204424657
162	0.203869528
163	0.2034388994
164	0.2030790069
165	0.2025722122
166	0.2023042371
167	0.201982767
168	0.2015731115
169	0.2012353572
170	0.2009518467
171	0.2004985066
172	0.2000439008
173	0.1996984349
174	0.1992589975
175	0.1988275787
176	0.198604967
177	0.1980975335
178	0.1975802441
179	0.1973469393
180	0.1968434321
181	0.1965525687
182	0.1961986894
183	0.1956583519
184	0.1951210506
185	0.1946529967
186	0.1944019206
187	0.1939785022
188	0.1937762894
189	0.1934166119
190	0.1930740311
191	0.19266814
192	0.1923196191
193	0.191805674
194	0.1914420184
195	0.1910698299
196	0.1903081189
197	0.1900133217
198	0.1895373349
199	0.1891197979
