iter	Passed	Remaining
0	4	992
1	10	998
2	15	1006
3	19	973
4	24	964
5	31	1009
6	39	1096
7	47	1137
8	56	1199
9	64	1228
10	69	1201
11	74	1162
12	81	1177
13	88	1173
14	92	1137
15	96	1105
16	100	1079
17	104	1053
18	107	1028
19	112	1008
20	115	987
21	119	966
22	126	970
23	129	951
24	133	936
25	138	930
26	142	914
27	146	898
28	149	883
29	153	869
30	157	856
31	160	843
32	164	830
33	167	819
34	171	807
35	174	796
36	178	785
37	181	775
38	185	765
39	188	755
40	192	746
41	195	737
42	199	728
43	202	719
44	206	711
45	209	702
46	213	695
47	217	687
48	220	679
49	224	672
50	227	664
51	230	657
52	234	650
53	237	643
54	241	636
55	245	630
56	248	624
57	252	617
58	255	611
59	259	606
60	263	599
61	266	593
62	270	588
63	273	582
64	277	575
65	280	570
66	284	564
67	287	558
68	291	553
69	295	549
70	299	543
71	302	538
72	306	533
73	310	528
74	315	525
75	321	524
76	324	518
77	328	513
78	332	508
79	335	503
80	339	498
81	342	493
82	346	488
83	349	483
84	353	477
85	356	472
86	360	467
87	363	462
88	367	458
89	370	453
90	374	448
91	378	443
92	381	438
93	384	434
94	388	429
95	392	425
96	395	420
97	399	415
98	404	412
99	408	408
100	412	404
101	416	400
102	420	395
103	423	391
104	427	386
105	431	382
106	434	378
107	438	373
108	442	369
109	446	365
110	450	361
111	454	356
112	457	352
113	462	348
114	465	344
115	469	339
116	473	335
117	477	331
118	481	327
119	484	323
120	488	319
121	493	315
122	497	311
123	500	306
124	505	303
125	508	298
126	512	294
127	515	290
128	519	285
129	522	281
130	526	277
131	529	273
132	533	268
133	536	264
134	540	260
135	544	256
136	548	252
137	551	247
138	555	243
139	559	239
140	562	235
141	566	231
142	569	227
143	573	223
144	577	218
145	580	214
146	584	210
147	587	206
148	591	202
149	594	198
150	598	194
151	602	190
152	605	186
153	609	181
154	612	177
155	616	173
156	619	169
157	623	165
158	627	161
159	630	157
160	634	153
161	637	149
162	641	145
163	644	141
164	648	137
165	652	133
166	656	129
167	660	125
168	663	121
169	667	117
170	670	113
171	674	109
172	677	105
173	681	101
174	684	97
175	688	93
176	692	89
177	695	85
178	699	82
179	702	78
180	706	74
181	709	70
182	713	66
183	716	62
184	720	58
185	724	54
186	727	50
187	731	46
188	734	42
189	738	38
190	742	34
191	745	31
192	749	27
193	753	23
194	757	19
195	760	15
196	764	11
197	768	7
198	772	3
199	775	0
